log_id,driver_id,date,timestamp,cumulative_earnings,elapsed_hours,current_velocity,target_velocity,velocity_delta,trips_completed,forecast_status
VEL0001,DRV001,06-02-2024,06-02-2024 07:02,485,0.65,746.15,257.85,488.3,1,ahead
VEL0002,DRV001,06-02-2024,06-02-2024 08:34,1064,2.18,487.33,257.85,229.48,2,ahead
VEL0003,DRV001,06-02-2024,06-02-2024 09:25,1451,3.03,478.35,257.85,220.5,3,ahead
VEL0004,DRV001,06-02-2024,06-02-2024 10:24,1619,4.02,403.07,257.85,145.22,4,ahead
VEL0005,DRV001,06-02-2024,06-02-2024 11:22,1777,4.98,356.59,257.85,98.74,5,ahead
VEL0006,DRV002,06-02-2024,06-02-2024 13:12,569,0.83,682.8,191.07,491.73,1,ahead
VEL0007,DRV002,06-02-2024,06-02-2024 13:58,790,1.6,493.75,191.07,302.68,2,ahead
VEL0008,DRV003,06-02-2024,06-02-2024 07:01,782,0.93,837.86,158.55,679.31,1,ahead
VEL0009,DRV003,06-02-2024,06-02-2024 08:27,1343,2.37,567.46,158.55,408.91,2,ahead
VEL0010,DRV004,06-02-2024,06-02-2024 06:27,174,0.1,1740,200.41,1539.59,1,ahead
VEL0011,DRV004,06-02-2024,06-02-2024 07:46,857,1.4,612.14,200.41,411.73,2,ahead
VEL0012,DRV004,06-02-2024,06-02-2024 08:58,1412,2.6,543.08,200.41,342.67,3,ahead
VEL0013,DRV005,06-02-2024,06-02-2024 07:03,499,0.95,525.26,214.52,310.74,1,ahead
VEL0014,DRV005,06-02-2024,06-02-2024 08:15,1036,2.15,481.86,214.52,267.34,2,ahead
VEL0015,DRV005,06-02-2024,06-02-2024 09:00,1240,2.9,427.59,214.52,213.07,3,ahead
VEL0016,DRV005,06-02-2024,06-02-2024 10:00,1564,3.9,401.03,214.52,186.51,4,ahead
VEL0017,DRV006,06-02-2024,06-02-2024 06:48,259,0.77,337.83,230.5,107.33,1,ahead
VEL0018,DRV006,06-02-2024,06-02-2024 08:01,948,1.98,477.98,230.5,247.48,2,ahead
VEL0019,DRV006,06-02-2024,06-02-2024 08:46,1287,2.73,470.85,230.5,240.35,3,ahead
VEL0020,DRV006,06-02-2024,06-02-2024 09:38,1745,3.6,484.72,230.5,254.22,4,ahead
VEL0021,DRV007,06-02-2024,06-02-2024 07:27,800,1.42,564.71,185.31,379.4,1,ahead
VEL0022,DRV007,06-02-2024,06-02-2024 08:44,1233,2.7,456.67,185.31,271.36,2,ahead
VEL0023,DRV008,06-02-2024,06-02-2024 18:03,432,0.72,602.79,161.43,441.36,1,ahead
VEL0024,DRV008,06-02-2024,06-02-2024 19:19,1153,1.98,581.34,161.43,419.91,2,ahead
VEL0025,DRV009,06-02-2024,06-02-2024 06:36,484,0.35,1382.86,197.86,1185,1,ahead
VEL0026,DRV009,06-02-2024,06-02-2024 07:30,972,1.25,777.6,197.86,579.74,2,ahead
VEL0027,DRV009,06-02-2024,06-02-2024 08:31,1199,2.27,528.97,197.86,331.11,3,ahead
VEL0028,DRV009,06-02-2024,06-02-2024 09:14,1389,2.98,465.59,197.86,267.73,4,ahead
VEL0029,DRV010,06-02-2024,06-02-2024 17:47,295,0.77,384.78,238.4,146.38,1,ahead
VEL0030,DRV010,06-02-2024,06-02-2024 18:59,739,1.97,375.76,238.4,137.36,2,ahead
VEL0031,DRV010,06-02-2024,06-02-2024 20:04,1182,3.05,387.54,238.4,149.14,3,ahead
VEL0032,DRV010,06-02-2024,06-02-2024 21:12,1770,4.18,423.11,238.4,184.71,4,ahead
VEL0033,DRV010,06-02-2024,06-02-2024 22:45,2489,5.73,434.13,238.4,195.73,5,ahead
VEL0034,DRV011,06-02-2024,06-02-2024 06:41,116,0.48,240,156.86,83.14,1,ahead
VEL0035,DRV011,06-02-2024,06-02-2024 08:12,631,2,315.5,156.86,158.64,2,ahead
VEL0036,DRV012,06-02-2024,06-02-2024 17:48,301,0.43,694.62,217.02,477.6,1,ahead
VEL0037,DRV012,06-02-2024,06-02-2024 18:38,596,1.27,470.53,217.02,253.51,2,ahead
VEL0038,DRV012,06-02-2024,06-02-2024 19:30,1044,2.13,489.38,217.02,272.36,3,ahead
VEL0039,DRV012,06-02-2024,06-02-2024 20:44,1707,3.37,507.03,217.02,290.01,4,ahead
VEL0040,DRV012,06-02-2024,06-02-2024 21:19,2014,3.95,509.87,217.02,292.85,5,ahead
VEL0041,DRV012,06-02-2024,06-02-2024 22:27,2531,5.08,497.9,217.02,280.88,6,ahead
VEL0042,DRV013,06-02-2024,06-02-2024 12:58,292,0.58,500.57,231.29,269.28,1,ahead
VEL0043,DRV013,06-02-2024,06-02-2024 13:52,567,1.48,382.25,231.29,150.96,2,ahead
VEL0044,DRV013,06-02-2024,06-02-2024 14:28,891,2.08,427.68,231.29,196.39,3,ahead
VEL0045,DRV014,06-02-2024,06-02-2024 13:15,510,0.97,527.59,148.99,378.6,1,ahead
VEL0046,DRV014,06-02-2024,06-02-2024 14:29,1215,2.2,552.27,148.99,403.28,2,ahead
VEL0047,DRV014,06-02-2024,06-02-2024 15:37,1823,3.33,546.9,148.99,397.91,3,ahead
VEL0048,DRV014,06-02-2024,06-02-2024 16:22,2245,4.08,549.8,148.99,400.81,4,ahead
VEL0049,DRV014,06-02-2024,06-02-2024 17:18,2825,5.02,563.12,148.99,414.13,5,ahead
VEL0050,DRV015,06-02-2024,06-02-2024 06:40,111,0.2,555,194.56,360.44,1,ahead
VEL0051,DRV015,06-02-2024,06-02-2024 07:56,804,1.47,548.18,194.56,353.62,2,ahead
VEL0052,DRV016,06-02-2024,06-02-2024 17:25,197,0.32,622.11,231.9,390.21,1,ahead
VEL0053,DRV016,06-02-2024,06-02-2024 18:14,605,1.13,533.82,231.9,301.92,2,ahead
VEL0054,DRV016,06-02-2024,06-02-2024 19:10,860,2.07,416.13,231.9,184.23,3,ahead
VEL0055,DRV017,06-02-2024,06-02-2024 18:14,497,1.22,408.49,192.86,215.63,1,ahead
VEL0056,DRV017,06-02-2024,06-02-2024 19:24,898,2.38,376.78,192.86,183.92,2,ahead
VEL0057,DRV017,06-02-2024,06-02-2024 20:21,1368,3.33,410.4,192.86,217.54,3,ahead
VEL0058,DRV017,06-02-2024,06-02-2024 21:44,1912,4.72,405.37,192.86,212.51,4,ahead
VEL0059,DRV017,06-02-2024,06-02-2024 23:02,2372,6.02,394.24,192.86,201.38,5,ahead
VEL0060,DRV018,06-02-2024,06-02-2024 12:59,261,0.7,372.86,199.57,173.29,1,ahead
VEL0061,DRV018,06-02-2024,06-02-2024 13:50,532,1.55,343.23,199.57,143.66,2,ahead
VEL0062,DRV019,06-02-2024,06-02-2024 06:56,431,0.47,923.57,154.16,769.41,1,ahead
VEL0063,DRV019,06-02-2024,06-02-2024 07:38,646,1.17,553.71,154.16,399.55,2,ahead
VEL0064,DRV020,06-02-2024,06-02-2024 17:46,93,0.45,206.67,214.72,-8.05,1,on_track
VEL0065,DRV020,06-02-2024,06-02-2024 19:11,645,1.87,345.54,214.72,130.82,2,ahead
VEL0066,DRV021,06-02-2024,06-02-2024 17:51,497,0.45,1104.44,213.27,891.17,1,ahead
VEL0067,DRV021,06-02-2024,06-02-2024 18:47,779,1.38,563.13,213.27,349.86,2,ahead
VEL0068,DRV021,06-02-2024,06-02-2024 19:58,1349,2.57,525.58,213.27,312.31,3,ahead
VEL0069,DRV022,06-02-2024,06-02-2024 17:34,332,0.35,948.57,222.26,726.31,1,ahead
VEL0070,DRV022,06-02-2024,06-02-2024 19:03,862,1.83,470.18,222.26,247.92,2,ahead
VEL0071,DRV023,06-02-2024,06-02-2024 06:56,511,0.67,766.5,215.59,550.91,1,ahead
VEL0072,DRV023,06-02-2024,06-02-2024 08:11,1114,1.92,581.22,215.59,365.63,2,ahead
VEL0073,DRV023,06-02-2024,06-02-2024 09:22,1445,3.1,466.13,215.59,250.54,3,ahead
VEL0074,DRV023,06-02-2024,06-02-2024 10:23,1710,4.12,415.38,215.59,199.79,4,ahead
VEL0075,DRV023,06-02-2024,06-02-2024 11:31,2074,5.25,395.05,215.59,179.46,5,ahead
VEL0076,DRV023,06-02-2024,06-02-2024 12:50,2488,6.57,378.88,215.59,163.29,6,ahead
VEL0077,DRV024,06-02-2024,06-02-2024 18:21,653,0.95,687.37,172.04,515.33,1,ahead
VEL0078,DRV024,06-02-2024,06-02-2024 19:41,999,2.28,437.52,172.04,265.48,2,ahead
VEL0079,DRV024,06-02-2024,06-02-2024 21:00,1783,3.6,495.28,172.04,323.24,3,ahead
VEL0080,DRV024,06-02-2024,06-02-2024 21:56,2108,4.53,465,172.04,292.96,4,ahead
VEL0081,DRV024,06-02-2024,06-02-2024 22:38,2314,5.23,442.17,172.04,270.13,5,ahead
VEL0082,DRV025,06-02-2024,06-02-2024 06:29,188,0.1,1880,200.52,1679.48,1,ahead
VEL0083,DRV025,06-02-2024,06-02-2024 07:16,512,0.8,640,200.52,439.48,2,ahead
VEL0084,DRV025,06-02-2024,06-02-2024 08:20,1016,1.87,544.29,200.52,343.77,3,ahead
VEL0085,DRV026,06-02-2024,06-02-2024 06:46,188,0.35,537.14,204.86,332.28,1,ahead
VEL0086,DRV026,06-02-2024,06-02-2024 07:52,593,1.45,408.97,204.86,204.11,2,ahead
VEL0087,DRV027,06-02-2024,06-02-2024 12:58,340,0.97,351.72,179.23,172.49,1,ahead
VEL0088,DRV027,06-02-2024,06-02-2024 14:07,698,2.12,329.76,179.23,150.53,2,ahead
VEL0089,DRV027,06-02-2024,06-02-2024 15:12,1067,3.2,333.44,179.23,154.21,3,ahead
VEL0090,DRV028,06-02-2024,06-02-2024 07:04,711,0.68,1040.49,210.38,830.11,1,ahead
VEL0091,DRV028,06-02-2024,06-02-2024 07:55,955,1.53,622.83,210.38,412.45,2,ahead
VEL0092,DRV028,06-02-2024,06-02-2024 08:54,1425,2.52,566.23,210.38,355.85,3,ahead
VEL0093,DRV028,06-02-2024,06-02-2024 09:59,1886,3.6,523.89,210.38,313.51,4,ahead
VEL0094,DRV028,06-02-2024,06-02-2024 11:26,2686,5.05,531.88,210.38,321.5,5,ahead
VEL0095,DRV029,06-02-2024,06-02-2024 17:56,299,0.55,543.64,183.06,360.58,1,ahead
VEL0096,DRV029,06-02-2024,06-02-2024 19:12,768,1.82,422.75,183.06,239.69,2,ahead
VEL0097,DRV030,06-02-2024,06-02-2024 06:38,144,0.22,664.62,177.37,487.25,1,ahead
VEL0098,DRV030,06-02-2024,06-02-2024 07:25,462,1,462,177.37,284.63,2,ahead
VEL0099,DRV030,06-02-2024,06-02-2024 08:53,1080,2.47,437.84,177.37,260.47,3,ahead
VEL0100,DRV030,06-02-2024,06-02-2024 09:37,1201,3.2,375.31,177.37,197.94,4,ahead
VEL0101,DRV030,06-02-2024,06-02-2024 10:37,1564,4.2,372.38,177.37,195.01,5,ahead
VEL0102,DRV031,06-02-2024,06-02-2024 18:11,527,1.1,479.09,193.57,285.52,1,ahead
VEL0103,DRV031,06-02-2024,06-02-2024 19:13,925,2.13,433.59,193.57,240.02,2,ahead
VEL0104,DRV031,06-02-2024,06-02-2024 20:13,1400,3.13,446.81,193.57,253.24,3,ahead
VEL0105,DRV031,06-02-2024,06-02-2024 20:53,1618,3.8,425.79,193.57,232.22,4,ahead
VEL0106,DRV031,06-02-2024,06-02-2024 21:43,1860,4.63,401.44,193.57,207.87,5,ahead
VEL0107,DRV031,06-02-2024,06-02-2024 22:42,2309,5.62,411.1,193.57,217.53,6,ahead
VEL0108,DRV032,06-02-2024,06-02-2024 06:58,236,0.67,354,183.61,170.39,1,ahead
VEL0109,DRV032,06-02-2024,06-02-2024 08:28,930,2.17,429.23,183.61,245.62,2,ahead
VEL0110,DRV033,06-02-2024,06-02-2024 06:27,146,0.13,1095,223.33,871.67,1,ahead
VEL0111,DRV033,06-02-2024,06-02-2024 07:19,532,1,532,223.33,308.67,2,ahead
VEL0112,DRV033,06-02-2024,06-02-2024 08:10,704,1.85,380.54,223.33,157.21,3,ahead
VEL0113,DRV033,06-02-2024,06-02-2024 09:14,1013,2.92,347.31,223.33,123.98,4,ahead
VEL0114,DRV034,06-02-2024,06-02-2024 12:53,361,0.4,902.5,225.15,677.35,1,ahead
VEL0115,DRV034,06-02-2024,06-02-2024 14:29,1015,2,507.5,225.15,282.35,2,ahead
VEL0116,DRV035,06-02-2024,06-02-2024 06:43,138,0.33,414,242.21,171.79,1,ahead
VEL0117,DRV035,06-02-2024,06-02-2024 08:02,562,1.65,340.61,242.21,98.4,2,ahead
VEL0118,DRV035,06-02-2024,06-02-2024 08:30,700,2.12,330.71,242.21,88.5,3,ahead
VEL0119,DRV036,06-02-2024,06-02-2024 06:48,144,0.57,254.12,224.71,29.41,1,on_track
VEL0120,DRV036,06-02-2024,06-02-2024 07:44,602,1.5,401.33,224.71,176.62,2,ahead
VEL0121,DRV036,06-02-2024,06-02-2024 08:28,968,2.23,433.43,224.71,208.72,3,ahead
VEL0122,DRV036,06-02-2024,06-02-2024 09:39,1606,3.42,470.05,224.71,245.34,4,ahead
VEL0123,DRV037,06-02-2024,06-02-2024 07:08,724,0.65,1113.85,189,924.85,1,ahead
VEL0124,DRV037,06-02-2024,06-02-2024 08:19,1041,1.83,567.82,189,378.82,2,ahead
VEL0125,DRV037,06-02-2024,06-02-2024 09:38,1465,3.15,465.08,189,276.08,3,ahead
VEL0126,DRV038,06-02-2024,06-02-2024 06:44,451,0.58,773.14,310.08,463.06,1,ahead
VEL0127,DRV038,06-02-2024,06-02-2024 07:27,618,1.3,475.38,310.08,165.3,2,ahead
VEL0128,DRV038,06-02-2024,06-02-2024 08:26,1246,2.28,545.69,310.08,235.61,3,ahead
VEL0129,DRV038,06-02-2024,06-02-2024 09:59,1830,3.83,477.39,310.08,167.31,4,ahead
VEL0130,DRV038,06-02-2024,06-02-2024 11:12,2298,5.05,455.05,310.08,144.97,5,ahead
VEL0131,DRV038,06-02-2024,06-02-2024 12:11,2614,6.03,433.26,310.08,123.18,6,ahead
VEL0132,DRV039,06-02-2024,06-02-2024 13:17,522,0.9,580,193.73,386.27,1,ahead
VEL0133,DRV039,06-02-2024,06-02-2024 14:25,843,2.03,414.59,193.73,220.86,2,ahead
VEL0134,DRV039,06-02-2024,06-02-2024 15:42,1475,3.32,444.72,193.73,250.99,3,ahead
VEL0135,DRV039,06-02-2024,06-02-2024 17:01,1985,4.63,428.42,193.73,234.69,4,ahead
VEL0136,DRV039,06-02-2024,06-02-2024 17:33,2140,5.17,414.19,193.73,220.46,5,ahead
VEL0137,DRV039,06-02-2024,06-02-2024 18:56,2556,6.55,390.23,193.73,196.5,6,ahead
VEL0138,DRV040,06-02-2024,06-02-2024 17:44,364,0.62,590.27,160.57,429.7,1,ahead
VEL0139,DRV040,06-02-2024,06-02-2024 18:34,557,1.45,384.14,160.57,223.57,2,ahead
VEL0140,DRV040,06-02-2024,06-02-2024 19:46,909,2.65,343.02,160.57,182.45,3,ahead
VEL0141,DRV040,06-02-2024,06-02-2024 21:10,1510,4.05,372.84,160.57,212.27,4,ahead
VEL0142,DRV040,06-02-2024,06-02-2024 22:42,2177,5.58,389.91,160.57,229.34,5,ahead
VEL0143,DRV041,06-02-2024,06-02-2024 12:50,325,0.5,650,226.91,423.09,1,ahead
VEL0144,DRV041,06-02-2024,06-02-2024 13:40,802,1.33,601.5,226.91,374.59,2,ahead
VEL0145,DRV041,06-02-2024,06-02-2024 14:26,1241,2.1,590.95,226.91,364.04,3,ahead
VEL0146,DRV041,06-02-2024,06-02-2024 15:58,1731,3.63,476.42,226.91,249.51,4,ahead
VEL0147,DRV041,06-02-2024,06-02-2024 17:20,2163,5,432.6,226.91,205.69,5,ahead
VEL0148,DRV042,06-02-2024,06-02-2024 18:05,636,0.65,978.46,171.67,806.79,1,ahead
VEL0149,DRV042,06-02-2024,06-02-2024 19:23,941,1.95,482.56,171.67,310.89,2,ahead
VEL0150,DRV042,06-02-2024,06-02-2024 20:34,1538,3.13,490.85,171.67,319.18,3,ahead
VEL0151,DRV043,06-02-2024,06-02-2024 13:12,644,0.83,772.8,170.41,602.39,1,ahead
VEL0152,DRV043,06-02-2024,06-02-2024 14:27,1345,2.08,645.6,170.41,475.19,2,ahead
VEL0153,DRV043,06-02-2024,06-02-2024 15:18,1914,2.93,652.5,170.41,482.09,3,ahead
VEL0154,DRV043,06-02-2024,06-02-2024 16:00,2290,3.63,630.28,170.41,459.87,4,ahead
VEL0155,DRV043,06-02-2024,06-02-2024 16:46,2479,4.4,563.41,170.41,393,5,ahead
VEL0156,DRV043,06-02-2024,06-02-2024 17:52,3186,5.5,579.27,170.41,408.86,6,ahead
VEL0157,DRV044,06-02-2024,06-02-2024 12:58,351,0.58,601.71,280,321.71,1,ahead
VEL0158,DRV044,06-02-2024,06-02-2024 13:55,818,1.53,533.48,280,253.48,2,ahead
VEL0159,DRV044,06-02-2024,06-02-2024 15:10,1366,2.78,490.78,280,210.78,3,ahead
VEL0160,DRV045,06-02-2024,06-02-2024 06:54,525,0.9,583.33,276.15,307.18,1,ahead
VEL0161,DRV045,06-02-2024,06-02-2024 08:19,1138,2.32,491.22,276.15,215.07,2,ahead
VEL0162,DRV045,06-02-2024,06-02-2024 09:29,1542,3.48,442.68,276.15,166.53,3,ahead
VEL0163,DRV045,06-02-2024,06-02-2024 11:00,2076,5,415.2,276.15,139.05,4,ahead
VEL0164,DRV046,06-02-2024,06-02-2024 06:53,224,0.4,560,245,315,1,ahead
VEL0165,DRV046,06-02-2024,06-02-2024 08:23,692,1.9,364.21,245,119.21,2,ahead
VEL0166,DRV047,06-02-2024,06-02-2024 07:15,555,1.15,482.61,173.11,309.5,1,ahead
VEL0167,DRV047,06-02-2024,06-02-2024 08:05,958,1.98,483.03,173.11,309.92,2,ahead
VEL0168,DRV047,06-02-2024,06-02-2024 09:02,1193,2.93,406.7,173.11,233.59,3,ahead
VEL0169,DRV048,06-02-2024,06-02-2024 06:52,433,0.67,649.5,258.94,390.56,1,ahead
VEL0170,DRV048,06-02-2024,06-02-2024 08:08,721,1.93,372.93,258.94,113.99,2,ahead
VEL0171,DRV049,06-02-2024,06-02-2024 07:12,458,0.97,473.79,240.65,233.14,1,ahead
VEL0172,DRV049,06-02-2024,06-02-2024 08:01,695,1.78,389.72,240.65,149.07,2,ahead
VEL0173,DRV050,06-02-2024,06-02-2024 07:24,462,1.18,390.42,280.93,109.49,1,ahead
VEL0174,DRV050,06-02-2024,06-02-2024 08:29,1057,2.27,466.32,280.93,185.39,2,ahead
VEL0175,DRV050,06-02-2024,06-02-2024 09:57,1823,3.73,488.3,280.93,207.37,3,ahead
VEL0176,DRV050,06-02-2024,06-02-2024 10:54,1982,4.68,423.2,280.93,142.27,4,ahead
