trip_id,driver_id,date,start_time,end_time,duration_min,distance_km,fare,surge_multiplier,pickup_location,dropoff_location,trip_status
TRIP001,DRV001,06-02-2024,06:28:00,07:02:00,34,18.3,485,1.5,Viman Nagar,Hinjewadi,completed
TRIP002,DRV001,06-02-2024,07:34:00,08:34:00,60,23.1,579,1.3,Hadapsar,Wakad,completed
TRIP003,DRV001,06-02-2024,08:53:00,09:25:00,32,14.2,387,1.5,Viman Nagar,Baner,completed
TRIP004,DRV001,06-02-2024,09:56:00,10:24:00,28,6.5,168,1.3,Aundh,Baner,completed
TRIP005,DRV001,06-02-2024,10:58:00,11:22:00,24,8,158,1.1,Shivajinagar,Koregaon Park,completed
TRIP006,DRV002,06-02-2024,12:17:00,13:12:00,55,20.3,569,1.3,South Delhi,Saket,completed
TRIP007,DRV002,06-02-2024,13:26:00,13:58:00,32,9.7,221,1.2,South Delhi,Rohini,completed
TRIP008,DRV003,06-02-2024,06:01:00,07:01:00,60,26.2,782,1.5,Koregaon Park,Aundh,completed
TRIP009,DRV003,06-02-2024,07:27:00,08:27:00,60,22.7,561,1.3,Viman Nagar,Shivajinagar,completed
TRIP010,DRV004,06-02-2024,06:07:00,06:27:00,20,7.4,174,1.1,Juhu,BKC,completed
TRIP011,DRV004,06-02-2024,06:47:00,07:46:00,59,20.5,683,1.5,Andheri West,Malad,completed
TRIP012,DRV004,06-02-2024,08:18:00,08:58:00,40,19.7,555,1.4,Juhu,Andheri West,completed
TRIP013,DRV005,06-02-2024,06:03:00,07:03:00,60,18.7,499,1.4,Anna Nagar,Tambaram,completed
TRIP014,DRV005,06-02-2024,07:34:00,08:15:00,41,18.2,537,1.4,Adyar,Guindy,completed
TRIP015,DRV005,06-02-2024,08:41:00,09:00:00,19,8.1,204,1.3,Guindy,Nungambakkam,completed
TRIP016,DRV005,06-02-2024,09:22:00,10:00:00,38,18.4,324,1,Velachery,Guindy,completed
TRIP017,DRV006,06-02-2024,06:20:00,06:48:00,28,12,259,1.2,Hinjewadi,Aundh,completed
TRIP018,DRV006,06-02-2024,07:01:00,08:01:00,60,26.5,689,1.4,Hadapsar,Hinjewadi,completed
TRIP019,DRV006,06-02-2024,08:23:00,08:46:00,23,13,339,1.6,Hadapsar,Baner,completed
TRIP020,DRV006,06-02-2024,08:58:00,09:38:00,40,18.1,458,1.3,Koregaon Park,Baner,completed
TRIP021,DRV007,06-02-2024,06:27:00,07:27:00,60,22.8,800,1.6,HSR Layout,BTM Layout,completed
TRIP022,DRV007,06-02-2024,08:03:00,08:44:00,41,20,433,1,Whitefield,Hebbal,completed
TRIP023,DRV008,06-02-2024,17:05:00,18:03:00,58,25.9,432,1,Gachibowli,Secunderabad,completed
TRIP024,DRV008,06-02-2024,18:19:00,19:19:00,60,24.4,721,1.5,Hitec City,Madhapur,completed
TRIP025,DRV009,06-02-2024,06:03:00,06:36:00,33,16.1,484,1.4,BTM Layout,Koramangala,completed
TRIP026,DRV009,06-02-2024,06:53:00,07:30:00,37,21,488,1.3,MG Road,Koramangala,completed
TRIP027,DRV009,06-02-2024,07:58:00,08:31:00,33,8.2,227,1.1,Koramangala,BTM Layout,completed
TRIP028,DRV009,06-02-2024,08:55:00,09:14:00,19,7.5,190,1.2,BTM Layout,Whitefield,completed
TRIP029,DRV010,06-02-2024,17:15:00,17:47:00,32,13.7,295,1.1,Koramangala,Whitefield,completed
TRIP030,DRV010,06-02-2024,18:12:00,18:59:00,47,19.2,444,1.1,Whitefield,Indiranagar,completed
TRIP031,DRV010,06-02-2024,19:20:00,20:04:00,44,15.4,443,1.3,Indiranagar,Hebbal,completed
TRIP032,DRV010,06-02-2024,20:21:00,21:12:00,51,22.9,588,1.3,HSR Layout,Indiranagar,completed
TRIP033,DRV010,06-02-2024,21:45:00,22:45:00,60,26.1,719,1.4,Electronic City,Koramangala,completed
TRIP034,DRV011,06-02-2024,06:25:00,06:41:00,16,5.3,116,1.2,Viman Nagar,Koregaon Park,completed
TRIP035,DRV011,06-02-2024,07:12:00,08:12:00,60,24.6,515,1.1,Shivajinagar,Wakad,completed
TRIP036,DRV012,06-02-2024,17:23:00,17:48:00,25,11.5,301,1.2,Bandra,Worli,completed
TRIP037,DRV012,06-02-2024,18:11:00,18:38:00,27,7.9,295,1.6,Kurla,Dadar,completed
TRIP038,DRV012,06-02-2024,18:51:00,19:30:00,39,14.8,448,1.4,Worli,Dadar,completed
TRIP039,DRV012,06-02-2024,19:44:00,20:44:00,60,25.8,663,1.2,Powai,Lower Parel,completed
TRIP040,DRV012,06-02-2024,20:55:00,21:19:00,24,9.8,307,1.4,Kurla,Malad,completed
TRIP041,DRV012,06-02-2024,21:38:00,22:27:00,49,16.9,517,1.3,Bandra,Juhu,completed
TRIP042,DRV013,06-02-2024,12:25:00,12:58:00,33,12.2,292,1.3,Porur,Anna Nagar,completed
TRIP043,DRV013,06-02-2024,13:12:00,13:52:00,40,12.1,275,1,T Nagar,Nungambakkam,completed
TRIP044,DRV013,06-02-2024,14:01:00,14:28:00,27,10.7,324,1.4,Anna Nagar,Adyar,completed
TRIP045,DRV014,06-02-2024,12:21:00,13:15:00,54,27.1,510,1,Shivajinagar,Aundh,completed
TRIP046,DRV014,06-02-2024,13:42:00,14:29:00,47,27.3,705,1.4,Shivajinagar,Baner,completed
TRIP047,DRV014,06-02-2024,14:39:00,15:37:00,58,22.7,608,1.3,Kothrud,Hadapsar,completed
TRIP048,DRV014,06-02-2024,15:48:00,16:22:00,34,17.3,422,1.5,Viman Nagar,Baner,completed
TRIP049,DRV014,06-02-2024,16:34:00,17:18:00,44,20.2,580,1.5,Wakad,Baner,completed
TRIP050,DRV015,06-02-2024,06:25:00,06:40:00,15,4.1,111,1.4,South Delhi,Vasant Kunj,completed
TRIP051,DRV015,06-02-2024,06:56:00,07:56:00,60,24.5,693,1.5,Vasant Kunj,Gurugram,completed
TRIP052,DRV016,06-02-2024,17:05:00,17:25:00,20,6,197,1.5,Shivajinagar,Hinjewadi,completed
TRIP053,DRV016,06-02-2024,17:38:00,18:14:00,36,17.8,408,1.3,Shivajinagar,Baner,completed
TRIP054,DRV016,06-02-2024,18:26:00,19:10:00,44,12.8,255,1,Viman Nagar,Aundh,completed
TRIP055,DRV017,06-02-2024,17:22:00,18:14:00,52,17,497,1.5,Gurugram,Dwarka,completed
TRIP056,DRV017,06-02-2024,18:43:00,19:24:00,41,18.2,401,1.2,Dwarka,Karol Bagh,completed
TRIP057,DRV017,06-02-2024,19:41:00,20:21:00,40,17.5,470,1.4,South Delhi,Rohini,completed
TRIP058,DRV017,06-02-2024,20:52:00,21:44:00,52,25.7,544,1.1,Gurugram,Noida,completed
TRIP059,DRV017,06-02-2024,22:07:00,23:02:00,55,14.4,460,1.6,Rohini,Noida,completed
TRIP060,DRV018,06-02-2024,12:15:00,12:59:00,44,11.5,261,1.2,Baner,Shivajinagar,completed
TRIP061,DRV018,06-02-2024,13:16:00,13:50:00,34,13.5,271,1,Baner,Hinjewadi,completed
TRIP062,DRV019,06-02-2024,06:12:00,06:56:00,44,22.7,431,1.1,Secunderabad,Kondapur,completed
TRIP063,DRV019,06-02-2024,07:12:00,07:38:00,26,11.9,215,1,Kondapur,LB Nagar,completed
TRIP064,DRV020,06-02-2024,17:27:00,17:46:00,19,4.2,93,1,Baner,Hinjewadi,completed
TRIP065,DRV020,06-02-2024,18:11:00,19:11:00,60,24.4,552,1.3,Hinjewadi,Hadapsar,completed
TRIP066,DRV021,06-02-2024,17:13:00,17:51:00,38,18.5,497,1.2,Lower Parel,Malad,completed
TRIP067,DRV021,06-02-2024,18:06:00,18:47:00,41,13.9,282,1,Bandra,Lower Parel,completed
TRIP068,DRV021,06-02-2024,19:16:00,19:58:00,42,21,570,1.2,Malad,Goregaon,completed
TRIP069,DRV022,06-02-2024,17:05:00,17:34:00,29,16.2,332,1,Vasant Kunj,Lajpat Nagar,completed
TRIP070,DRV022,06-02-2024,18:07:00,19:03:00,56,25.1,530,1.2,Vasant Kunj,Connaught Place,completed
TRIP071,DRV023,06-02-2024,06:00:00,06:56:00,56,18.3,511,1.5,Viman Nagar,Kothrud,completed
TRIP072,DRV023,06-02-2024,07:23:00,08:11:00,48,21.4,603,1.4,Kothrud,Hinjewadi,completed
TRIP073,DRV023,06-02-2024,08:42:00,09:22:00,40,16.5,331,1,Wakad,Kothrud,completed
TRIP074,DRV023,06-02-2024,09:57:00,10:23:00,26,8.3,265,1.5,Hadapsar,Kothrud,completed
TRIP075,DRV023,06-02-2024,10:56:00,11:31:00,35,13.1,364,1.4,Hinjewadi,Wakad,completed
TRIP076,DRV023,06-02-2024,12:04:00,12:50:00,46,24.8,414,1,Wakad,Hinjewadi,completed
TRIP077,DRV024,06-02-2024,17:21:00,18:21:00,60,25.3,653,1.3,Rohini,Noida,completed
TRIP078,DRV024,06-02-2024,18:55:00,19:41:00,46,15.2,346,1.2,Noida,Dwarka,completed
TRIP079,DRV024,06-02-2024,20:00:00,21:00:00,60,26.9,784,1.4,Rohini,Karol Bagh,completed
TRIP080,DRV024,06-02-2024,21:14:00,21:56:00,42,16.5,325,1,Lajpat Nagar,South Delhi,completed
TRIP081,DRV024,06-02-2024,22:18:00,22:38:00,20,6.7,206,1.4,Noida,South Delhi,completed
TRIP082,DRV025,06-02-2024,06:02:00,06:29:00,27,7.3,188,1.3,Adyar,Guindy,completed
TRIP083,DRV025,06-02-2024,06:42:00,07:16:00,34,10.1,324,1.5,T Nagar,Velachery,completed
TRIP084,DRV025,06-02-2024,07:36:00,08:20:00,44,22.2,504,1.1,Porur,Guindy,completed
TRIP085,DRV026,06-02-2024,06:25:00,06:46:00,21,8.3,188,1.1,Velachery,Porur,completed
TRIP086,DRV026,06-02-2024,07:04:00,07:52:00,48,16.7,405,1.1,Adyar,Anna Nagar,completed
TRIP087,DRV027,06-02-2024,12:15:00,12:58:00,43,16.9,340,1.1,Lajpat Nagar,Connaught Place,completed
TRIP088,DRV027,06-02-2024,13:12:00,14:07:00,55,17.3,358,1.1,Saket,Noida,completed
TRIP089,DRV027,06-02-2024,14:32:00,15:12:00,40,15.2,369,1.3,Noida,Vasant Kunj,completed
TRIP090,DRV028,06-02-2024,06:04:00,07:04:00,60,26.1,711,1.2,Dadar,Bandra,completed
TRIP091,DRV028,06-02-2024,07:35:00,07:55:00,20,9.1,244,1.4,Worli,Bandra,completed
TRIP092,DRV028,06-02-2024,08:05:00,08:54:00,49,15,470,1.4,Andheri West,Malad,completed
TRIP093,DRV028,06-02-2024,09:23:00,09:59:00,36,15.1,461,1.3,Worli,Goregaon,completed
TRIP094,DRV028,06-02-2024,10:26:00,11:26:00,60,24.3,800,1.5,Dadar,Bandra,completed
TRIP095,DRV029,06-02-2024,17:28:00,17:56:00,28,12.8,299,1.2,Anna Nagar,Porur,completed
TRIP096,DRV029,06-02-2024,18:16:00,19:12:00,56,19.5,469,1.2,Porur,Guindy,completed
TRIP097,DRV030,06-02-2024,06:19:00,06:38:00,19,4.5,144,1.4,Shivajinagar,Wakad,completed
TRIP098,DRV030,06-02-2024,06:51:00,07:25:00,34,10.6,318,1.4,Hinjewadi,Kothrud,completed
TRIP099,DRV030,06-02-2024,07:53:00,08:53:00,60,26.9,618,1.3,Baner,Kothrud,completed
TRIP100,DRV030,06-02-2024,09:20:00,09:37:00,17,4.6,121,1.3,Baner,Hinjewadi,completed
TRIP101,DRV030,06-02-2024,09:55:00,10:37:00,42,17.1,363,1.2,Viman Nagar,Koregaon Park,completed
TRIP102,DRV031,06-02-2024,17:22:00,18:11:00,49,22.4,527,1.3,Wakad,Hadapsar,completed
TRIP103,DRV031,06-02-2024,18:27:00,19:13:00,46,18.1,398,1.1,Hadapsar,Viman Nagar,completed
TRIP104,DRV031,06-02-2024,19:31:00,20:13:00,42,23.1,475,1.1,Hadapsar,Aundh,completed
TRIP105,DRV031,06-02-2024,20:27:00,20:53:00,26,7.7,218,1.3,Baner,Hinjewadi,completed
TRIP106,DRV031,06-02-2024,21:23:00,21:43:00,20,10.5,242,1.4,Hadapsar,Hinjewadi,completed
TRIP107,DRV031,06-02-2024,22:07:00,22:42:00,35,16,449,1.4,Shivajinagar,Aundh,completed
TRIP108,DRV032,06-02-2024,06:29:00,06:58:00,29,11.6,236,1,Rohini,Saket,completed
TRIP109,DRV032,06-02-2024,07:29:00,08:28:00,59,23.7,694,1.4,Dwarka,Lajpat Nagar,completed
TRIP110,DRV033,06-02-2024,06:02:00,06:27:00,25,7.7,146,1,Karol Bagh,Rohini,completed
TRIP111,DRV033,06-02-2024,06:37:00,07:19:00,42,19.7,386,1.1,Dwarka,Rohini,completed
TRIP112,DRV033,06-02-2024,07:50:00,08:10:00,20,6.2,172,1.4,Vasant Kunj,Gurugram,completed
TRIP113,DRV033,06-02-2024,08:32:00,09:14:00,42,12.8,309,1.1,Lajpat Nagar,Rohini,completed
TRIP114,DRV034,06-02-2024,12:24:00,12:53:00,29,13.6,361,1.4,OMR,Tambaram,completed
TRIP115,DRV034,06-02-2024,13:29:00,14:29:00,60,24.9,654,1.4,Nungambakkam,Adyar,completed
TRIP116,DRV035,06-02-2024,06:21:00,06:43:00,22,4.6,138,1.3,Velachery,Guindy,completed
TRIP117,DRV035,06-02-2024,07:14:00,08:02:00,48,17.5,424,1.2,OMR,Adyar,completed
TRIP118,DRV035,06-02-2024,08:13:00,08:30:00,17,4,138,1.5,Tambaram,Guindy,completed
TRIP119,DRV036,06-02-2024,06:28:00,06:48:00,20,5.4,144,1.1,Juhu,Andheri West,completed
TRIP120,DRV036,06-02-2024,07:02:00,07:44:00,42,14.1,458,1.5,Bandra,Dadar,completed
TRIP121,DRV036,06-02-2024,08:03:00,08:28:00,25,10.4,366,1.5,Worli,Goregaon,completed
TRIP122,DRV036,06-02-2024,08:40:00,09:39:00,59,18.9,638,1.4,Colaba,Kurla,completed
TRIP123,DRV037,06-02-2024,06:09:00,07:08:00,59,26.8,724,1.5,Rohini,Vasant Kunj,completed
TRIP124,DRV037,06-02-2024,07:43:00,08:19:00,36,13.1,317,1.3,Saket,Vasant Kunj,completed
TRIP125,DRV037,06-02-2024,08:52:00,09:38:00,46,18.1,424,1.2,Noida,Karol Bagh,completed
TRIP126,DRV038,06-02-2024,06:09:00,06:44:00,35,14.8,451,1.4,Goregaon,Lower Parel,completed
TRIP127,DRV038,06-02-2024,07:04:00,07:27:00,23,6.3,167,1.2,Kurla,BKC,completed
TRIP128,DRV038,06-02-2024,07:43:00,08:26:00,43,23.8,628,1.4,Bandra,Colaba,completed
TRIP129,DRV038,06-02-2024,08:59:00,09:59:00,60,17.9,584,1.4,Kurla,Malad,completed
TRIP130,DRV038,06-02-2024,10:32:00,11:12:00,40,15.9,468,1.4,Colaba,Dadar,completed
TRIP131,DRV038,06-02-2024,11:36:00,12:11:00,35,10.5,316,1.3,BKC,Bandra,completed
TRIP132,DRV039,06-02-2024,12:17:00,13:17:00,60,25.1,522,1,Gurugram,Noida,completed
TRIP133,DRV039,06-02-2024,13:43:00,14:25:00,42,14.2,321,1.2,Noida,South Delhi,completed
TRIP134,DRV039,06-02-2024,14:42:00,15:42:00,60,25,632,1.3,Connaught Place,Dwarka,completed
TRIP135,DRV039,06-02-2024,16:01:00,17:01:00,60,18.8,510,1.3,Noida,Vasant Kunj,completed
TRIP136,DRV039,06-02-2024,17:19:00,17:33:00,14,6.3,155,1.2,Karol Bagh,Dwarka,completed
TRIP137,DRV039,06-02-2024,18:06:00,18:56:00,50,19.2,416,1.2,Saket,Lajpat Nagar,completed
TRIP138,DRV040,06-02-2024,17:21:00,17:44:00,23,11.2,364,1.6,Karol Bagh,Noida,completed
TRIP139,DRV040,06-02-2024,18:15:00,18:34:00,19,7.7,193,1.3,Lajpat Nagar,Vasant Kunj,completed
TRIP140,DRV040,06-02-2024,19:09:00,19:46:00,37,11.5,352,1.6,Lajpat Nagar,Noida,completed
TRIP141,DRV040,06-02-2024,20:18:00,21:10:00,52,27.4,601,1.1,South Delhi,Connaught Place,completed
TRIP142,DRV040,06-02-2024,21:43:00,22:42:00,59,27.3,667,1.3,Dwarka,Saket,completed
TRIP143,DRV041,06-02-2024,12:23:00,12:50:00,27,14.7,325,1.3,Noida,South Delhi,completed
TRIP144,DRV041,06-02-2024,13:05:00,13:40:00,35,16.4,477,1.6,Vasant Kunj,Saket,completed
TRIP145,DRV041,06-02-2024,13:54:00,14:26:00,32,17.6,439,1.3,Connaught Place,Karol Bagh,completed
TRIP146,DRV041,06-02-2024,14:58:00,15:58:00,60,26.8,490,1,Noida,Dwarka,completed
TRIP147,DRV041,06-02-2024,16:28:00,17:20:00,52,17,432,1.2,Saket,South Delhi,completed
TRIP148,DRV042,06-02-2024,17:05:00,18:05:00,60,26.5,636,1.3,Koregaon Park,Wakad,completed
TRIP149,DRV042,06-02-2024,18:40:00,19:23:00,43,15.7,305,1,Koregaon Park,Hadapsar,completed
TRIP150,DRV042,06-02-2024,19:34:00,20:34:00,60,27.6,597,1.3,Shivajinagar,Koregaon Park,completed
TRIP151,DRV043,06-02-2024,12:19:00,13:12:00,53,24.5,644,1.2,Lower Parel,Juhu,completed
TRIP152,DRV043,06-02-2024,13:32:00,14:27:00,55,23.5,701,1.4,Goregaon,Bandra,completed
TRIP153,DRV043,06-02-2024,14:41:00,15:18:00,37,19,569,1.5,Worli,Malad,completed
TRIP154,DRV043,06-02-2024,15:33:00,16:00:00,27,11,376,1.5,Bandra,Colaba,completed
TRIP155,DRV043,06-02-2024,16:22:00,16:46:00,24,7.5,189,1.2,Goregaon,Malad,completed
TRIP156,DRV043,06-02-2024,17:08:00,17:52:00,44,22.8,707,1.5,Worli,Dadar,completed
TRIP157,DRV044,06-02-2024,12:14:00,12:58:00,44,13.4,351,1.2,Goregaon,BKC,completed
TRIP158,DRV044,06-02-2024,13:15:00,13:55:00,40,12.9,467,1.6,Malad,Bandra,completed
TRIP159,DRV044,06-02-2024,14:31:00,15:10:00,39,18.7,548,1.4,Worli,Dadar,completed
TRIP160,DRV045,06-02-2024,06:12:00,06:54:00,42,17.6,525,1.5,Dadar,Powai,completed
TRIP161,DRV045,06-02-2024,07:30:00,08:19:00,49,24.9,613,1.2,Juhu,BKC,completed
TRIP162,DRV045,06-02-2024,08:37:00,09:29:00,52,17.4,404,1.1,Lower Parel,Worli,completed
TRIP163,DRV045,06-02-2024,10:00:00,11:00:00,60,20.4,534,1.1,Worli,Goregaon,completed
TRIP164,DRV046,06-02-2024,06:24:00,06:53:00,29,9.6,224,1.1,Whitefield,Hebbal,completed
TRIP165,DRV046,06-02-2024,07:23:00,08:23:00,60,22.5,468,1.1,Indiranagar,Marathahalli,completed
TRIP166,DRV047,06-02-2024,06:15:00,07:15:00,60,23.4,555,1.2,Hadapsar,Wakad,completed
TRIP167,DRV047,06-02-2024,07:35:00,08:05:00,30,15.5,403,1.4,Shivajinagar,Koregaon Park,completed
TRIP168,DRV047,06-02-2024,08:39:00,09:02:00,23,9.9,235,1.4,Hadapsar,Hinjewadi,completed
TRIP169,DRV048,06-02-2024,06:08:00,06:52:00,44,23.1,433,1.1,Aundh,Koregaon Park,completed
TRIP170,DRV048,06-02-2024,07:27:00,08:08:00,41,13.6,288,1.2,Hadapsar,Hinjewadi,completed
TRIP171,DRV049,06-02-2024,06:27:00,07:12:00,45,24.4,458,1.1,Karol Bagh,Lajpat Nagar,completed
TRIP172,DRV049,06-02-2024,07:42:00,08:01:00,19,7.1,237,1.6,Saket,Connaught Place,completed
TRIP173,DRV050,06-02-2024,06:24:00,07:24:00,60,22,462,1.1,Madhapur,Banjara Hills,completed
TRIP174,DRV050,06-02-2024,07:44:00,08:29:00,45,22.9,595,1.4,Kondapur,LB Nagar,completed
TRIP175,DRV050,06-02-2024,08:59:00,09:57:00,58,27.1,766,1.6,Kondapur,Gachibowli,completed
TRIP176,DRV050,06-02-2024,10:33:00,10:54:00,21,6.3,159,1.2,Jubilee Hills,Gachibowli,completed
